,name,price,status,shipping,free_returns,items_sold
228,Stiletto TI14SC 18-Inch 14-Oz Titanium Smooth Face Curved Hickory Handle Hammer,9999,Brand New,895,True,74
229,"22 oz. milled face solid steel rip hammer, 16 in handle",3299,Brand New,0,True,0
230,"Vintage Hammer Heads Lot - Plumb ,Stanley ",3999,Pre-Owned,920,False,
231,magnetic double head hammer | underlayment nail tool roofing steel installer cap,5899,Brand New,0,True,0
232,Snap On 16-Ounce Claw Hammer,4999,Brand New,0,False,
233,"New ListingCraftsman 18-oz  Flex Claw Hammer,Ergonomic Grip Magnetic Head, Handle Type",3299,Brand New,,False,
234,16oz Ball Pein Peen Hammer Untislip Soft Cushion Grip Fiberglass Strong Handle,1409,Brand New,0,False,
235,Pittsburgh Brass& Dead Blow Hammer 24oz,900,Brand New,1580,False,
236,Estwing - GGE316S Hammer - 16 oz Straight Rip Claw with Smooth Face & Shock,3039,Brand New,0,True,0
237,15 pack round metal axe and hammer wedges,1200,Brand New,0,False,1065
238,"Estwing Soft Face Sledge Hammer, Fiberglass Handle ESH/SF-F",7699,Brand New,,True,
239,16 oz. multi-purpose dead blow ball peen hammer,1899,Brand New,0,True,0
240,Vintage CRAFTSMAN 12 Oz. Soft Face rubber plastic Hammer Mallet USA ,1295,Pre-Owned,850,True,
241,New ListingVintage 2 Pound Double Poll Machinist Hammer Very Nice,6000,Pre-Owned,,True,
242,WorkShop 8oz Claw Hammer Steel Head 83017,825,Brand New,0,True,
243,"New ListingPYTHON Drilling Hammer 10"" Indestructible Fiberglass Handle 3 LB",1729,Brand New,0,True,
244,4 PACK Escape Tool Auto Car Window Glass Hammer Breaker and Seat Belt Cutter ,1450,Brand New,0,False,
245,"HART 20oz Steel Hammer, Rip Claw, Magnetic Nail Starter",2550,Brand New,0,False,
246,SNAP ON HBFE16 16-Ounce Soft Grip Dead Blow  HAMMER BUY IT NOW USA,2499,Pre-Owned,925,False,
247,8 OZ STUBBY CLAW HAMMER w/ MAGNETIC NAIL HOLDER Ounce Small Head Fiberglass ,1095,Brand New,0,True,136
248,12 oz. Double-Face Soft Hammer,1708,Brand New,0,False,0
249,24oz Ball Pein Peen Hammer Cushion Grip Fiberglass Untislip Handle,1473,Brand New,0,False,
250,Lot Of 2 Plumb 11419 16 oz Fiberglass Rip Claw Hammer Brand New,2499,Brand New,0,True,0
251,Rare Unusual Antique Hammer Curled Claw Collectible Tack Vintage 12oz 1800’s,5000,Pre-Owned,0,False,
252," 12 1/2"" Replacement Hickory Wood Hammer Handle W/ Square Eye 3/4x3/8"" @62 ~ NOS",795,Brand New,,False,
253,Vintage STANLEY Small 7 Ounce Finishing Claw Hammer USA Made Light Duty- Nice,1195,Pre-Owned,495,False,
254,DEWALT DCH133B 20V 1'' SDS PLUS D-HANDLE BRUSHLESS ROTARY HAMMER Tool Only NIP,12889,Brand New,,True,885
255,"5 Piece Hammer Set - Includes Rubber Mallet, Sledge, Cross Pein, and Ball Pein",4999,Brand New,0,False,53
256,Dewalt Dwht51439  16 Oz Steel Curve Claw Hammer,1799,Brand New,999,True,0
257,"Lot of 4 Vintage Assorted Hammers Cobblers, Tack, Pick, Body, Claw",100,Pre-Owned,900,False,
258,Monoceros 13 oz Claw Hammer  Stubby Hammers Anti-Slip Handle Magnetic ,2588,Brand New,0,False,
259,Vaughan No.9 10 oz Cabinetmaker's Claw Hammer Smooth Face ,1500,Pre-Owned,1465,True,
260,Estwing Framing Hammer - 28 oz Long Handle Straight Rip Claw with Smooth Face &,3798,Brand New,0,True,0
261,20 oz. Steel Rip Claw Nailing Hammer,3179,Brand New,0,False,0
262,Large Rubber Mallet 32oz 900g Hammer Fiberglass Rubberized Soft Handle Hand Grip,1999,Brand New,0,False,
263,"14 Oz Stubby Claw Hammer w/ Fiberglass Handle Steel, Small Hand Tool",1399,Brand New,0,True,
264,Dalluge Tools DD21C Framing Hammer with Curved Hickory Handle 21 oz.,2587,Brand New,0,False,
